name	x	y	z
Fp1	114.5851808674079	30.902595782959	27.8665743290935
Fp2	115.3463080963063	-28.4094878870912	27.7212577225303
FC3	57.1332894472713	61.852344531741096	93.765828829526
FCz	63.4597922535334	1.2714337533992999	126.57198384237539
FC4	57.7074165309067	-60.6254743522472	93.7946180448844
C3	23.358234962598498	67.1487303836509	104.5106810602527
Cz	27.6170937179454	1.3741408533525001	140.1994941744
C4	23.573100719425	-65.3288732678518	103.69243420048089
CP3	-11.8965991115251	65.4722409714922	107.7779200422707
CPz	-10.5183762613616	1.5249123600369001	141.5491439763013
CP4	-11.991179362648799	-64.6962476012671	107.71287092399099
O1	-80.56835005318109	31.573565325189602	54.789645624052
Oz	-82.7829903591961	2.0602535535243	60.7366306077401
O2	-80.4888416127573	-27.6830931090905	54.7340814777985
